Address,Rank,Size,Symbol,Tag
0x00107E8C,U,000148,_ZN2nn6applet3CTR6detail6APPLET15GlanceParameterEPjjS4_PhjPiPNS_6HandleE,
0x00107F28,U,000060,_ZN2nn6applet3CTR6detail6APPLET15ReplySleepQueryEjNS1_10QueryReplyE,
0x00107F6C,U,000148,_ZN2nn6applet3CTR6detail6APPLET16ReceiveParameterEPjjS4_PhjPiPNS_6HandleE,
0x00108008,U,000060,_ZN2nn6camera3CTR6detail6Camera14GetSleepCameraEPNS1_12CameraSelectE,
0x00108048,U,000060,_ZN2nn6camera3CTR6detail6Camera18GetActivatedCameraEPNS1_12CameraSelectE,
0x00108088,U,000060,_ZN4sead12CalendarTime4DateC2ERKNS0_4YearERKNS0_5MonthERKNS0_3DayE,
0x001080C4,U,000028,_ZN4sead12CalendarTime4TimeC2ERKNS0_4HourERKNS0_6MinuteERKNS0_6SecondE,
0x001080E0,U,000380,_ZN4sead17ArchiveFileDeviceC2EPNS_10ArchiveResE,
0x00108278,U,000104,_ZN4sead4Heap15appendDisposer_EPNS_9IDisposerE,
0x001082E0,U,000316,_ZN4sead6ThreadC2ERKNS_14SafeStringBaseIcEEPNS_4HeapEiNS_12MessageQueue9BlockTypeElii,
0x00108428,U,000092,_ZN4sead7ExpHeap9tryCreateEPvmRKNS_14SafeStringBaseIcEEb,
0x00108484,U,000476,_ZNK2nn2gr3CTR11RenderState11MakeCommandEPjb,
0x00108684,U,000012,__fbv_initializeFBValidator,gdef
0x00108690,U,002048,__shv_initializeShaderValidator,gdef
0x00108F74,U,000196,__txv_initializeTextureValidator,gdef
0x0010904C,U,000128,_ZN2nn2os10LockPolicy6ObjectINS0_15CriticalSectionEE10ScopedLockC1ERKNS4_10LockObjectE,
0x001090CC,U,000304,_ZN4sead15FixedSafeStringILi128EEaSERKNS_14SafeStringBaseIcEE,
0x00109208,U,000088,_ZN4sead10StringUtil9vsnprintfEPcmPKcSt9__va_list,
0x00109264,U,000420,_ZN2al10FileLoader11loadArchiveERKN4sead14SafeStringBaseIcEEPNS1_10FileDeviceE,
0x00109430,U,000340,_ZN2nn3fnd6detail13AllocFromHeapEPNS1_11ExpHeapImplEji,
0x00109584,U,000016,_ZN2nn3fnd6detail19SetAllocModeForHeapEPNS1_11ExpHeapImplEt,
0x00109594,U,000036,_ZN2nn3fnd6detail27UseMarginOfAlignmentForHeapEPNS1_11ExpHeapImplEb,
0x001095B8,U,000016,_ZN2nn3fnd6detail27UseMarginOfAlignmentForHeapEPNS1_11ExpHeapImplEb,
0x001095C8,U,000004,nngxlowReadHWRegs,
0x001095CC,U,000040,_ZN2nn5gxlow3CTR10ReadHWRegsEjPvj,
0x001095F4,U,000628,_ZN2nn5gxlow3CTR17InterruptReceiver10InitializeEv,
0x00109880,U,000300,_ZN2nn5gxlow3CTR17InterruptReceiver18WaitAnyHandlerDoneEv,
0x001099B0,U,000040,_ZN2nn5gxlow3CTR11WriteHWRegsEjPKvj,
0x001099D8,U,000064,_ZN2nn5gxlow3CTR3Gpu11WriteHWRegsEjPKhj,
0x00109A1C,U,000064,_ZN2nn5gxlow3CTR3Gpu12AcquireRightENS_6HandleEb,
0x00109A60,U,000088,_ZN2nn5gxlow3CTR3Gpu19WriteHWRegsWithMaskEjPKhS4_j,
0x00109ABC,U,000048,_ZN2nn6applet3CTR6detail6APPLET30ReplySleepNotificationCompleteEj,
0x00109AF4,U,000136,_ZN4sead7ExpHeap15pushToFreeList_EPNS_8MemBlockE,
0x00109B7C,U,000172,_ZN4sead7ExpHeap14mergeFreeList_Ev,
0x00109C28,U,000140,_ZNK2al13ByamlHashIter12getDataByKeyEPNS_9ByamlDataEi,
0x00109CB4,U,000068,_ZNK2al13ByamlHashIter14getDataByIndexEPNS_9ByamlDataEi,
0x00109CF8,U,000088,_ZNK2al14ByamlArrayIter14getDataByIndexEPNS_9ByamlDataEi,
0x00109D50,U,000464,_ZNK2nn2gr3CTR11RenderState7WBuffer11MakeCommandEPjb,
0x00109F30,U,000372,_ZNK2nn2gr3CTR11RenderState9ShadowMap11MakeCommandEPjbb,
0x0010A0C4,U,000012,__rt_eh_globals_addr,gdef
0x0010A0D0,U,000028,nngxlowRequestDMAEx,
0x0010A0EC,U,000060,nngxlowSetDisplayTransfer,
0x0010A128,U,000064,nngxlowSetMemoryFill,
0x0010A168,U,000064,nngxlowSetTextureCopy,
0x0010A1A8,m,000068,_get_lc_ctype,gdef
0x0010A1EC,m,000068,_get_lc_numeric,gdef
0x0010A230,U,000068,_ZN2nw3snd8internal11TaskManager10InitializeEv,
0x0010A274,U,000132,_ZN2nn2os6detail17BlockingQueueBaseINS0_15CriticalSectionEE10InitializeEPjj,
0x0010A2F8,U,000032,_ZN2nn3fnd16UnitHeapTemplateINS_2os10LockPolicy6ObjectINS2_15CriticalSectionEEEED1Ev,
0x0010A31C,m,000144,_printf_str,
0x0010A3AC,U,000128,__rt_memmove_w,gdef
0x0010A42C,U,000068,_printf_charcount,
0x0010A470,O,000024,_snputc,gdef
0x0010A488,U,000316,_printf_wctomb,
0x0010A5C8,U,000060,_ZN2nn2os14LightSemaphore10InitializeEi,
0x0010A608,U,000484,_ZN2nn3fnd6detail27AllocUsedBlockFromFreeBlockEPNS1_18NNSiFndExpHeapHeadEPNS1_24NNSiFndExpHeapMBlockHeadEPvjt,
